id_inquilino,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17
67,mañana,madrugador,secundaria,si,no,si,sin mascotas,pedir comida,no,si,no,no,ordenada,pop,no,casa,no
68,noche,madrugador,universitaria,no,no,si,sin mascotas,cocinar,no,no,si,no,ordenada,reggaeton,no,casa,si
69,mañana,madrugador,universitaria,no,no,si,con mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
70,mañana,nocturno,universitaria,no,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,rock,si,casa,si
71,noche,nocturno,secundaria,si,si,si,con mascotas,pedir comida,si,si,si,si,ordenada,reggaeton,si,casa,si
72,noche,nocturno,secundaria,si,no,no,sin mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,casa,si
73,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
74,noche,madrugador,universitaria,si,no,no,con mascotas,cocinar,si,no,no,si,ordenada,pop,no,casa,no
75,noche,nocturno,secundaria,no,si,si,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,salir,si
76,mañana,madrugador,secundaria,si,no,si,con mascotas,cocinar,no,no,si,no,ordenada,rock,no,casa,no
77,mañana,madrugador,universitaria,si,no,no,sin mascotas,cocinar,si,no,no,no,ordenada,pop,no,casa,no
78,noche,madrugador,universitaria,no,si,si,con mascotas,cocinar,no,si,si,si,ordenada,clasica,si,salir,si
79,mañana,madrugador,universitaria,si,no,no,con mascotas,cocinar,si,no,no,si,ordenada,pop,no,casa,no
80,noche,madrugador,universitaria,no,si,no,con mascotas,cocinar,si,si,si,si,relajada,clasica,no,casa,si
81,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,reggaeton,no,salir,si
82,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,si,si,si,relajada,rock,si,salir,si
83,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,si,no,no,relajada,clasica,si,casa,si
84,noche,nocturno,secundaria,si,si,no,con mascotas,pedir comida,no,no,si,si,relajada,reggaeton,no,salir,si
85,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,si,relajada,pop,no,casa,si
86,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,si,no,no,relajada,pop,no,casa,no
87,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,rock,no,casa,no
88,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,no,si,si,si,ordenada,clasica,si,salir,si
89,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,no,si,si,si,relajada,reggaeton,si,salir,si
90,noche,madrugador,universitaria,si,no,si,con mascotas,cocinar,no,no,no,no,ordenada,pop,no,salir,no
91,noche,nocturno,universitaria,no,no,no,con mascotas,pedir comida,si,no,si,no,ordenada,rock,si,salir,si
92,noche,nocturno,primaria,si,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,reggaeton,no,salir,si
93,mañana,madrugador,universitaria,si,no,no,sin mascotas,pedir comida,no,no,no,no,ordenada,pop,si,casa,no
94,mañana,nocturno,secundaria,si,si,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
95,mañana,madrugador,secundaria,si,no,si,sin mascotas,cocinar,si,no,no,no,relajada,pop,no,casa,no
96,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,no,relajada,pop,no,casa,no
97,mañana,madrugador,universitaria,si,si,si,con mascotas,pedir comida,no,si,si,si,relajada,pop,si,salir,si
98,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,no,no,si,relajada,pop,no,casa,no
99,noche,nocturno,primaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,rock,no,casa,no
100,noche,nocturno,primaria,si,no,si,sin mascotas,pedir comida,si,no,no,no,relajada,rock,si,salir,no
101,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,no,salir,si
102,mañana,nocturno,primaria,no,no,no,sin mascotas,cocinar,no,no,no,no,ordenada,rock,si,casa,no
103,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,pop,si,casa,no
104,mañana,nocturno,secundaria,no,si,si,con mascotas,pedir comida,no,si,si,si,relajada,reggaeton,si,salir,si
105,mañana,madrugador,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,relajada,pop,si,casa,si
106,mañana,madrugador,secundaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,pop,si,casa,no
107,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
108,mañana,madrugador,universitaria,si,no,si,con mascotas,cocinar,no,no,no,no,ordenada,pop,no,salir,no
109,noche,madrugador,primaria,si,si,no,sin mascotas,cocinar,no,no,no,no,ordenada,reggaeton,si,casa,no
110,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
111,mañana,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,no,si,si,ordenada,reggaeton,no,salir,si
112,noche,nocturno,secundaria,no,si,si,con mascotas,pedir comida,si,si,si,si,relajada,clasica,no,salir,si
113,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,no,si,no,relajada,rock,si,casa,si
114,mañana,nocturno,universitaria,no,si,no,con mascotas,pedir comida,no,si,si,si,ordenada,clasica,si,casa,si
115,noche,nocturno,secundaria,no,si,no,sin mascotas,pedir comida,si,no,si,si,relajada,reggaeton,si,salir,si
116,mañana,madrugador,universitaria,si,si,si,sin mascotas,cocinar,no,si,no,no,relajada,pop,no,salir,no
117,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,no,relajada,reggaeton,si,salir,si
118,noche,madrugador,primaria,si,no,no,sin mascotas,pedir comida,no,no,no,no,relajada,pop,no,casa,no
119,noche,nocturno,universitaria,si,si,si,con mascotas,pedir comida,no,si,si,si,relajada,clasica,si,salir,no
120,noche,madrugador,universitaria,no,no,no,con mascotas,pedir comida,no,si,si,si,relajada,pop,si,salir,si
121,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,pop,no,casa,no
122,mañana,madrugador,universitaria,no,si,no,sin mascotas,cocinar,no,no,no,no,ordenada,clasica,no,casa,no
123,noche,madrugador,secundaria,no,si,no,con mascotas,cocinar,si,si,si,si,ordenada,clasica,si,salir,si
124,mañana,madrugador,primaria,si,si,si,sin mascotas,cocinar,no,si,no,no,ordenada,rock,no,casa,no
125,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,clasica,si,salir,si
126,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,pop,no,casa,no
127,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,si,no,relajada,rock,no,casa,no
128,mañana,madrugador,universitaria,si,no,no,sin mascotas,pedir comida,no,no,si,si,ordenada,pop,no,casa,no
129,noche,madrugador,primaria,no,si,no,con mascotas,pedir comida,si,no,si,si,relajada,reggaeton,si,salir,si
130,noche,nocturno,secundaria,no,si,si,con mascotas,pedir comida,si,no,si,si,relajada,reggaeton,no,salir,no
131,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,no,no,no,ordenada,rock,si,casa,no
132,mañana,madrugador,universitaria,si,no,no,sin mascotas,cocinar,si,no,no,no,ordenada,rock,no,casa,no
133,noche,nocturno,universitaria,no,no,no,sin mascotas,pedir comida,si,si,si,si,ordenada,clasica,si,salir,si
134,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,si,no,no,ordenada,pop,no,casa,no
135,noche,madrugador,primaria,si,no,si,con mascotas,pedir comida,no,no,si,no,ordenada,rock,no,casa,no
136,noche,madrugador,primaria,no,si,si,sin mascotas,cocinar,si,no,no,no,ordenada,pop,no,salir,no
137,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,no,si,si,relajada,clasica,si,salir,si
138,noche,nocturno,universitaria,si,si,no,con mascotas,pedir comida,no,si,si,no,relajada,clasica,no,salir,no
139,mañana,madrugador,universitaria,si,no,si,sin mascotas,pedir comida,no,no,no,si,relajada,pop,si,casa,no
140,noche,nocturno,universitaria,si,si,si,con mascotas,pedir comida,si,si,si,si,ordenada,clasica,si,salir,si
141,mañana,madrugador,primaria,si,no,si,sin mascotas,pedir comida,no,no,si,no,ordenada,rock,no,casa,no
142,noche,nocturno,primaria,si,no,no,sin mascotas,cocinar,si,no,no,no,ordenada,rock,si,casa,no
143,noche,nocturno,secundaria,si,no,si,con mascotas,cocinar,si,si,si,no,relajada,reggaeton,si,salir,si
144,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
145,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,no,no,si,ordenada,clasica,si,salir,si
146,mañana,madrugador,primaria,no,no,si,con mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
147,mañana,madrugador,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
148,noche,nocturno,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,pop,no,casa,no
149,mañana,madrugador,primaria,si,si,si,con mascotas,cocinar,no,no,no,no,relajada,rock,no,casa,no
150,noche,nocturno,universitaria,no,si,no,sin mascotas,pedir comida,no,si,si,si,ordenada,clasica,si,salir,si
151,mañana,nocturno,secundaria,no,si,si,con mascotas,pedir comida,no,si,si,no,ordenada,reggaeton,si,salir,no
152,mañana,madrugador,primaria,si,no,si,sin mascotas,pedir comida,no,si,no,no,ordenada,rock,no,salir,no
153,noche,nocturno,universitaria,no,si,no,sin mascotas,pedir comida,no,no,no,si,relajada,reggaeton,si,casa,si
154,mañana,madrugador,universitaria,no,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,pop,no,casa,no
155,mañana,madrugador,primaria,no,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
156,mañana,madrugador,secundaria,si,no,si,sin mascotas,pedir comida,si,no,no,no,ordenada,rock,no,casa,no
157,noche,madrugador,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,pop,si,salir,si
158,noche,madrugador,universitaria,no,si,si,con mascotas,pedir comida,si,si,no,no,relajada,clasica,no,casa,si
159,noche,nocturno,universitaria,no,si,si,sin mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,no
160,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,si,ordenada,pop,no,casa,no
161,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,no,no,no,si,relajada,rock,si,casa,no
162,mañana,madrugador,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,no,ordenada,clasica,si,casa,no
163,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,si,no,no,ordenada,pop,no,casa,no
164,noche,madrugador,primaria,si,si,no,sin mascotas,pedir comida,no,no,no,si,relajada,pop,no,casa,no
165,noche,nocturno,primaria,si,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
166,noche,nocturno,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,relajada,clasica,si,casa,no
167,mañana,nocturno,secundaria,si,si,no,con mascotas,pedir comida,si,no,no,no,relajada,reggaeton,si,salir,si
168,noche,nocturno,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,relajada,clasica,si,casa,si
169,noche,madrugador,secundaria,no,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,rock,no,casa,no
170,noche,madrugador,primaria,si,no,si,con mascotas,cocinar,no,si,si,si,ordenada,rock,no,casa,no
171,noche,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,si,si,ordenada,rock,no,casa,no
172,noche,nocturno,secundaria,no,si,no,con mascotas,cocinar,si,si,si,si,ordenada,reggaeton,si,salir,no
173,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,no,si,ordenada,clasica,no,salir,si
174,noche,madrugador,secundaria,no,si,no,con mascotas,pedir comida,no,no,si,si,relajada,reggaeton,si,salir,si
175,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,no
176,mañana,madrugador,primaria,si,si,si,sin mascotas,cocinar,si,no,si,si,ordenada,clasica,no,casa,si
177,noche,nocturno,primaria,no,no,si,con mascotas,pedir comida,si,si,no,si,relajada,clasica,si,salir,si
178,noche,nocturno,primaria,si,no,si,sin mascotas,cocinar,no,si,si,si,ordenada,rock,no,casa,no
179,mañana,madrugador,secundaria,no,si,no,con mascotas,pedir comida,si,no,si,no,ordenada,reggaeton,si,salir,si
180,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,si,relajada,clasica,no,salir,no
181,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
182,noche,madrugador,primaria,si,si,si,con mascotas,cocinar,no,no,no,no,relajada,pop,si,salir,no
183,mañana,nocturno,universitaria,no,no,no,con mascotas,pedir comida,no,si,si,si,relajada,clasica,si,salir,si
184,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,no,si,si,ordenada,reggaeton,si,salir,si
185,mañana,nocturno,secundaria,si,si,si,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,casa,si
186,mañana,nocturno,secundaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
187,noche,madrugador,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
188,mañana,madrugador,primaria,si,no,no,sin mascotas,cocinar,no,no,si,si,ordenada,rock,no,salir,no
189,mañana,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,no,si,relajada,clasica,si,casa,si
190,mañana,madrugador,secundaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,pop,no,casa,no
191,mañana,madrugador,universitaria,si,no,si,sin mascotas,pedir comida,no,no,si,no,ordenada,pop,no,casa,no
192,mañana,madrugador,secundaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,rock,no,casa,no
193,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,no,si,si,ordenada,pop,si,salir,si
194,noche,nocturno,secundaria,no,no,si,con mascotas,pedir comida,si,no,no,si,ordenada,reggaeton,si,salir,si
195,mañana,madrugador,primaria,no,no,si,sin mascotas,pedir comida,no,no,si,no,ordenada,reggaeton,si,casa,no
196,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,no
197,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
198,mañana,nocturno,secundaria,no,si,si,con mascotas,pedir comida,no,no,si,si,relajada,clasica,si,salir,si
199,noche,nocturno,universitaria,si,si,no,sin mascotas,pedir comida,no,si,si,si,relajada,clasica,no,salir,si
200,mañana,nocturno,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
201,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,si,no,relajada,pop,si,casa,no
202,noche,madrugador,primaria,no,si,no,sin mascotas,cocinar,si,si,si,si,relajada,clasica,si,salir,si
203,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,si,si,ordenada,pop,si,casa,no
204,mañana,nocturno,universitaria,no,si,no,sin mascotas,pedir comida,si,si,no,si,relajada,pop,si,salir,si
205,mañana,madrugador,universitaria,si,si,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
206,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,si,no,no,relajada,rock,si,casa,no
207,mañana,nocturno,primaria,si,no,si,sin mascotas,pedir comida,si,si,no,no,ordenada,rock,no,casa,no
208,noche,madrugador,primaria,si,si,si,sin mascotas,cocinar,no,no,no,no,relajada,pop,si,casa,no
209,noche,nocturno,secundaria,no,no,si,con mascotas,cocinar,si,no,no,no,ordenada,rock,no,casa,no
210,noche,nocturno,secundaria,no,si,si,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,salir,si
211,mañana,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,no,salir,si
212,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
213,mañana,nocturno,universitaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,pop,no,casa,no
214,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,no,si,si,relajada,reggaeton,si,salir,si
215,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,no,si,si,relajada,clasica,si,casa,si
216,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,no,si,si,relajada,reggaeton,no,casa,si
217,mañana,madrugador,universitaria,si,no,no,con mascotas,pedir comida,no,no,si,si,relajada,pop,si,salir,no
218,noche,nocturno,secundaria,si,si,si,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
219,noche,nocturno,primaria,no,no,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,casa,si
220,mañana,madrugador,primaria,si,si,si,sin mascotas,cocinar,si,no,no,si,ordenada,rock,si,casa,no
221,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
222,noche,nocturno,secundaria,no,si,si,con mascotas,pedir comida,si,no,no,si,relajada,reggaeton,si,salir,si
223,mañana,madrugador,primaria,si,no,no,sin mascotas,pedir comida,si,no,no,no,ordenada,rock,no,casa,no
224,noche,nocturno,universitaria,si,si,si,con mascotas,pedir comida,si,no,si,si,ordenada,clasica,si,salir,si
225,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
226,mañana,nocturno,universitaria,si,no,no,sin mascotas,cocinar,no,si,no,no,ordenada,rock,no,salir,si
227,noche,madrugador,secundaria,si,si,si,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
228,mañana,nocturno,primaria,si,no,no,sin mascotas,cocinar,no,no,no,no,ordenada,rock,si,casa,no
229,noche,nocturno,universitaria,si,si,no,con mascotas,pedir comida,si,no,si,si,relajada,pop,si,salir,si
230,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,si,no,no,ordenada,rock,si,casa,no
231,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,pop,si,salir,si
232,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,no,si,no,relajada,reggaeton,si,salir,si
233,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,reggaeton,si,salir,no
234,mañana,madrugador,universitaria,no,no,no,con mascotas,cocinar,si,si,no,no,ordenada,reggaeton,no,casa,no
235,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,no,si,si,si,relajada,reggaeton,no,salir,si
236,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,no,si,si,no,ordenada,clasica,si,salir,si
237,noche,madrugador,universitaria,no,si,si,con mascotas,cocinar,si,no,si,si,relajada,clasica,si,salir,si
238,mañana,madrugador,universitaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,relajada,pop,no,casa,no
239,noche,nocturno,secundaria,si,si,si,con mascotas,pedir comida,no,no,no,si,ordenada,pop,si,salir,si
240,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,no,no,no,ordenada,rock,no,salir,si
241,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,clasica,si,salir,si
242,mañana,madrugador,secundaria,si,si,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
243,noche,madrugador,secundaria,no,no,no,con mascotas,pedir comida,no,si,no,si,relajada,reggaeton,si,salir,si
244,mañana,madrugador,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,pop,no,casa,si
